District,Beds,Nursing_Center,Pop,GDP,GDPpc,Province,Year,Lagged_Beds,Poorer
Renhuai City,0.13,21,67.96,329.46,48478.51677,Guizhou,2012,0.07,1
Liuzhi Special District,0.15,18,69.69,84.3,12096.42703,Guizhou,2012,0.13,1
Wangmo County,0.03,18,32.11,21.37,6655.247586,Guizhou,2012,0.03,1
Yanhe Tujia Autonomous County,0.08,22,66.24,49.6,7487.922705,Guizhou,2012,0.07,1
Meitan County,0.12,15,49.32,44.11,8943.633414,Guizhou,2012,0.13,1
Sinan County,0.13,15,67.08,62.4,9302.325581,Guizhou,2012,0.11,1
Suiyang County,0.1,15,54.64,49.15,8995.241581,Guizhou,2012,0.08,1
Zunyi County,0.21,33,121.14,192.28,15872.54416,Guizhou,2012,0.21,1
Qianxi County,0.25,20,94.78,111.81,11796.79257,Guizhou,2012,0.19,1
Nayong County,0.19,25,97.91,103.07,10527.01461,Guizhou,2012,0.14,1
Zheng'an County,0.1,33,63.94,35.63,5572.411636,Guizhou,2012,0.12,1
Zhijin County,0.12,30,113.26,90.3,7972.805933,Guizhou,2012,0.1,1
Songtao Miao Autonomous County,0.18,25,70.65,61.56,8713.375796,Guizhou,2012,0.17,1
Hezhang County,0.22,28,65.66,54.59,8314.042035,Guizhou,2012,0.17,1
Dafang County,0.21,29,110.43,109.24,9892.239428,Guizhou,2012,0.16,1
Tongzi County,0.14,24,72.53,74.89,10325.3826,Guizhou,2012,0.11,1
Chishui City,0.09,16,30.99,49.45,15956.76025,Guizhou,2012,0.07,1
Pan County,0.32,40,118.94,306.72,25787.79216,Guizhou,2012,0.25,1
"Weining Yi, Hui and Miao Autonomous County",0.21,35,143.79,100.66,7000.486821,Guizhou,2012,0.02,1
Shuicheng County,0.09,34,83.96,113.51,13519.53311,Guizhou,2012,0.09,1
Huangping County,0.05,,38.18,25.66,6720.796228,Guizhou,2012,0.05,1
Ziyun Miao and Buyi Autonomous County,0.12,,37.12,28.85,7772.090517,Guizhou,2012,0.05,1
Jinsha County,0.26,,65.74,130.15,19797.68786,Guizhou,2012,0.12,1
Longli County,0.04,,22.43,46.64,20793.58003,Guizhou,2012,0.04,1
Tongren City,0.3,,45.48,97.75,21492.96394,Guizhou,2012,0.23,1
Bijie City,0.51,,51.17,184.42,36040.64882,Guizhou,2012,0.43,1
Wanshan Special District,,,,,#DIV/0!,Guizhou,2012,,1
Wuzhishan City,0.09,2,11.27,16.58,14711.62378,Hainan,2012,0.08,1
Lingshui Li Autonomous County,0.06,11,38.22,74.55,19505.49451,Hainan,2012,0.06,1
Wanning City,0.13,8,62.37,134.98,21641.81498,Hainan,2012,0.15,1
Baisha Li Autonomous County,0.05,4,19.85,31.11,15672.54408,Hainan,2012,0.04,1
Baoting Li and Miao Autonomous County,0.04,6,17.33,27.56,15903.05828,Hainan,2012,0.03,1
Changjiang Li Autonomous County,0.07,10,26.42,81.05,30677.51703,Hainan,2012,0.06,1
Danzhou City,0.25,7,102.92,176.29,17128.83793,Hainan,2012,0.22,1
Chengmai County,0.12,8,56.75,170.23,29996.47577,Hainan,2012,0.11,1
Tunchang County,0.09,11,30.77,43.17,14029.89925,Hainan,2012,0.08,1
Dongfang City,0.11,30,45.58,114.02,25015.35761,Hainan,2012,0.12,1
Ledong Li Autonomous County,0.09,11,54.27,72.8,13414.40943,Hainan,2012,0.09,1
Lingao County,0.09,8,50.68,102.74,20272.29676,Hainan,2012,0.08,1
Qiongzhong Li and Miao Autonomous County,0.08,10,23.28,25.9,11125.42955,Hainan,2012,0.08,1
Qionghai City,0.14,18,50.2,145.02,28888.44622,Hainan,2012,0.14,1
Wenchang City,0.1,27,59.29,158.55,26741.44038,Hainan,2012,0.13,1
Dingan County,0.05,13,33.87,55.56,16403.89725,Hainan,2012,0.09,1
Yima City,0.14,2,16.85,161.76,96000,Henan,2012,0.14,1
Qi County,0.13,7,28.93,146.2,50535.77601,Henan,2012,0.13,1
Boai County,0.16,10,38.25,181.34,47409.15033,Henan,2012,0.13,1
Xinxiang County,0.11,7,35.01,181.04,51710.93973,Henan,2012,0.11,1
Huojia County,0.13,11,43.32,76.4,17636.19575,Henan,2012,0.13,1
Shan County,0.11,13,34.52,130.16,37705.67787,Henan,2012,0.09,1
Qinyang City,0.11,10,48.99,300.58,61355.37865,Henan,2012,0.11,1
Mianchi County,0.12,15,36.54,189.31,51808.97646,Henan,2012,0.09,1
Wen County,0.17,9,46.59,190.1,40802.74737,Henan,2012,0.16,1
Tangyin County,0.13,15,50.02,128.37,25663.73451,Henan,2012,0.12,1
Weihui City,0.36,14,52.38,103.64,19786.17793,Henan,2012,0.32,1
Baofeng County,0.18,13,53.3,223.3,41894.93433,Henan,2012,0.18,1
Wugang City,0.13,8,33.59,102.78,30598.39238,Henan,2012,0.13,1
Mengzhou City,0.09,10,38.03,228.19,60002.6295,Henan,2012,0.09,1
Taiqian County,0.06,9,40.95,67.92,16586.08059,Henan,2012,0.06,1
Xin County,0.05,17,37.31,78.3,20986.33074,Henan,2012,0.05,1
Huixian City,0.22,18,84.01,276.58,32922.27116,Henan,2012,0.21,1
Mengjin County,0.17,11,46.88,175.43,37421.07509,Henan,2012,0.13,1
Wuzhi County,0.2,14,71.21,216.5,30403.03328,Henan,2012,0.16,1
